Input.Tweet,Answer.Extreme
"By moving our embassy to Jerusalem, we are finally recognizing that Jerusalem is Israel’s rightful and eternal capi… https://t.co/b3yPlSAq4w",7
Deep bow from a Cavs fan! https://t.co/BD0xOh6TB3,2
I am proud to have worked with my colleagues in a bipartisan way to defend the Great Lakes -- a vital resource for… https://t.co/kGBKBu8FyB,5
I just love this guy! https://t.co/GHl4qo1Zev,2
I visited the SC Highway Patrol to bring them cupcakes &amp; thank them for their service. As we honor… https://t.co/zFM3Rdgiic,7
One of the best things we could do for our overburdened healthcare system is fixing our broken FOOD system. Every A… https://t.co/fsZS37WXHV,3
Proud to have helped @youngstownstate get this grant. I'm excited to see the results of this research and how it he… https://t.co/TdpexL9IiR,6
"RT @AmChemMatters: Thank you @RepRalphNorman for visiting @SolvayGroup in Rock Hill, SC today! It was a great day discussing #taxes, #trade…",5
RT @CGAGroup: This week Congressman @RepTimRyan visited Cornerstone client @ueas Ultra Electronics Advanced Tactical Systems facility in Sa…,3
"RT @CongressmanRaja: Last week, @RepRalphNorman  and I hosted a briefing on the economic benefits of solar energy production through the So…",6
"RT @GennaLab: Thanks @RepTimRyan for the press release announcing the awarding of our NSF grant. #MOFchemistry 

https://t.co/sbSljdw1Zw",5
"RT @HouseGOP: 500+ companies have announced new employee benefits
4 million+ Americans are receiving special bonuses
$4 billion+ in bonuses…",8
"RT @HouseGOP: America’s economy is booming thanks to pro-growth policies like the #TaxCutsandJobsAct. 

✅ Fastest wage growth since 2009📈
✅…",7
"RT @Pontifex: Dear young people, never get tired of being instruments of peace and joy among your peers!",6
RT @TegaCayPD: Chief Parker was thankful to receive recognition from @RepRalphNorman delivered by Mayor @DavidLONeal for National Police We…,10
"The holy city, #Jerusalem, is finally rightfully home to our embassy. Let today’s dedication be a world-wide remind… https://t.co/ct2ItYWhYV",4
This is why!  Our kids deserve better. Our country is better than this. https://t.co/6h1oXVH61M,2
