HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Tweet,Answer.Label,Answer.Extreme,Input.QC_liberal,Input.QC_conservative,Input.QC_neither,Answer.QC_liberal,Answer.QC_conservative,Answer.QC_neither
1159902,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2021,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2021,,,5545cf2b-f23d-4a56-96b9-420ea8dccb27,8e10d5a1-a66d-4efe-8b5f-8dc1cde519a6,Submitted,Wed Apr 07 14:40:14 PDT 2021,Wed Apr 07 14:47:14 PDT 2021,Sat Apr 10 14:47:14 PDT 2021,,,,420,0% (0/0),0% (0/0),0% (0/0),Proud to have helped @youngstownstate get this grant. I'm excited to see the results of this research and how it he… https://t.co/TdpexL9IiR,Republican,6,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
9822029,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2022,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2022,,,d1be146f-a207-4aaa-a8c8-5ef0af22b4fd,45dfda75-a389-456f-a952-418cb7953ede,Submitted,,,Sat Apr 10 14:47:14 PDT 2022,,,,,,,,"RT @GennaLab: Thanks @RepTimRyan for the press release announcing the awarding of our NSF grant. #MOFchemistry 

https://t.co/sbSljdw1Zw",Democrat,5,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
9509705,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2023,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2023,,,15be5c65-1cde-4ed5-b79e-852506604065,b9aa5933-1632-4c46-b6c5-0f3db52ab37d,Submitted,,,Sat Apr 10 14:47:14 PDT 2023,,,,,,,,RT @CGAGroup: This week Congressman @RepTimRyan visited Cornerstone client @ueas Ultra Electronics Advanced Tactical Systems facility in Sa…,Republican,3,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
5298224,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2024,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2024,,,5bd9ed1c-27ff-46d3-a15b-35a1081e8950,b6213e8a-7941-48ae-9320-b6924b7fe71b,Submitted,,,Sat Apr 10 14:47:14 PDT 2024,,,,,,,,One of the best things we could do for our overburdened healthcare system is fixing our broken FOOD system. Every A… https://t.co/fsZS37WXHV,Democrat,3,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
6892785,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2025,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2025,,,593c0a7d-fff2-4a89-859b-4771fe9dff4a,0081170d-2a47-4416-9ced-f2f869d2db91,Submitted,,,Sat Apr 10 14:47:14 PDT 2025,,,,,,,,I am proud to have worked with my colleagues in a bipartisan way to defend the Great Lakes -- a vital resource for… https://t.co/kGBKBu8FyB,Republican,5,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
9092990,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2026,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2026,,,2f8e3217-a0a2-489b-bb46-0a78a56b59f5,d960cb03-b7a3-4905-9eba-ae5e1b44c40b,Submitted,,,Sat Apr 10 14:47:14 PDT 2026,,,,,,,,"RT @Pontifex: Dear young people, never get tired of being instruments of peace and joy among your peers!",Democrat,6,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
4600394,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2027,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2027,,,b0fc9021-5c7c-469c-b51c-896afccb6fa8,99e40cac-b201-45be-90aa-ac26586d4194,Submitted,,,Sat Apr 10 14:47:14 PDT 2027,,,,,,,,I just love this guy! https://t.co/GHl4qo1Zev,Democrat,2,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
8752684,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2028,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2028,,,48216485-c731-4c85-b02e-fa249026e77a,ef6c552a-077d-43f4-bdbb-d82b9446401d,Submitted,,,Sat Apr 10 14:47:14 PDT 2028,,,,,,,,Great to be here supporting the Irish in the division 2 state championship! Big win. Proud of our student athletes. https://t.co/08pW8Y7HRN,Republican,4,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Liberal,Conservative
7870019,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2029,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2029,,,6a3744a0-3f41-4417-920a-3ac19bce42b8,05bb694c-e90e-438c-96bf-d3ad8cc320eb,Submitted,,,Sat Apr 10 14:47:14 PDT 2029,,,,,,,,This is why!  Our kids deserve better. Our country is better than this. https://t.co/6h1oXVH61M,Democrat,2,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
6624943,3JUYWRRWV2OY8D084ZMJ71TOLOPNDZ,Evaluate the following tweet's political allignment,Evaluate the following tweet as conservative or liberal and how extreme it is,survey,$0.05,Wed Apr 07 14:30:53 PDT 2030,1000,BatchId:4399697;OriginalHitTemplateId:928390912;,3600,259200,Thu Apr 08 08:11:42 PDT 2030,,,892014b5-e59c-4de8-a761-dcdaa157e8f7,985fe0f8-31d7-4864-9c5a-2be2010c7dcc,Submitted,,,Sat Apr 10 14:47:14 PDT 2030,,,,,,,,Deep bow from a Cavs fan! https://t.co/BD0xOh6TB3,Democrat,2,"The Affordable Care Act was a big deal when it was signed into law 11 years ago today, thanks to the leadership of President Obama,PresidentBiden, and so many others. It covers tens of millions of Americans, and gives countless families peace of mind.",Donal Trump is a good law and order president who protects our borders in the best possible way,Glad to hear it!,Liberal,Conservative,Neither
